"No.","Time","Source","Destination","Protocol","Length","Info"
"13148","572.299062508","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13150","572.301300504","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=542) [Deviceb'Device - 1']"
"13151","572.302631874","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13154","572.304275615","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=542)"
"13156","572.304798244","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13168","573.333188131","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13170","573.370306488","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13171","573.370340171","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=543) [Deviceb'Device - 1']"
"13174","573.373733022","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=543)"
"13176","573.374571840","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13186","574.379298864","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13188","574.381541167","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=544) [Deviceb'Device - 1']"
"13190","574.386030393","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13192","574.388477875","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=544)"
"13194","574.389025341","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13209","575.417480148","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13211","575.428921731","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=545) [Deviceb'Device - 1']"
"13212","575.429447015","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13215","575.433162477","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=545)"
"13217","575.433749788","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13233","576.439626455","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13235","576.451024707","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=546) [Deviceb'Device - 1']"
"13236","576.451375350","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13239","576.455031580","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=546)"
"13241","576.455708711","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13253","577.470604446","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13255","577.475902432","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=547) [Deviceb'Device - 1']"
"13256","577.476317247","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13259","577.479192188","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=547)"
"13261","577.479464774","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13308","578.483172004","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13310","578.485569140","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=548) [Deviceb'Device - 1']"
"13311","578.486336753","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13314","578.488362607","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=548)"
"13316","578.488942354","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13331","579.493574342","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13333","579.496224027","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=549) [Deviceb'Device - 1']"
"13335","579.500760903","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13337","579.503674557","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=549)"
"13339","579.504049376","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13354","580.508093561","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13356","580.510295498","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=550) [Deviceb'Device - 1']"
"13357","580.510703150","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13360","580.513018401","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=550)"
"13362","580.513563142","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13374","581.517193150","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13376","581.519369870","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=551) [Deviceb'Device - 1']"
"13377","581.519829339","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13380","581.522177142","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=551)"
"13382","581.522793609","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13396","582.526517196","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13398","582.528804665","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=552) [Deviceb'Device - 1']"
"13399","582.529211826","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13402","582.531553738","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=552)"
"13404","582.532103889","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13418","583.539117811","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13420","583.541476314","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=553) [Deviceb'Device - 1']"
"13421","583.541908502","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13424","583.544249592","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=553)"
"13426","583.544861310","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13436","584.549143220","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13438","584.551535117","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=554) [Deviceb'Device - 1']"
"13440","584.555936537","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13442","584.558399558","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=554)"
"13444","584.558951062","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13456","585.562621123","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13458","585.564782193","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=555) [Deviceb'Device - 1']"
"13459","585.565193491","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13462","585.568119148","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=555)"
"13464","585.568703353","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13480","586.572944854","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13482","586.575256489","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=556) [Deviceb'Device - 1']"
"13483","586.575681944","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13486","586.578086545","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=556)"
"13488","586.578722819","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13511","587.582451740","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13513","587.584850820","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=557) [Deviceb'Device - 1']"
"13514","587.585271536","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13517","587.587724629","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=557)"
"13519","587.588230225","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13532","588.613623555","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13534","588.615951160","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=558) [Deviceb'Device - 1']"
"13535","588.616390381","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13538","588.618743023","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=558)"
"13540","588.619333691","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13560","589.623023987","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13562","589.625195687","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=559) [Deviceb'Device - 1']"
"13564","589.629634868","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13567","589.631921456","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=559)"
"13569","589.632489701","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13581","590.636683478","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13583","590.638848174","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=560) [Deviceb'Device - 1']"
"13584","590.639272507","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13587","590.641694351","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=560)"
"13589","590.642209375","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13601","591.646562714","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13603","591.648760092","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=561) [Deviceb'Device - 1']"
"13604","591.649161572","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13607","591.651728089","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=561)"
"13609","591.652280965","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13621","592.655971569","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
