"No.","Time","Source","Destination","Protocol","Length","Info"
"403850","3260.908852434","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3190)"
"403852","3260.909182850","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403864","3261.913086391","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403866","3261.916065205","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3191) [Deviceb'Device - 1']"
"403867","3261.916504196","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403870","3261.918996509","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3191)"
"403872","3261.919500093","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403884","3262.923098229","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403886","3262.926092452","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3192) [Deviceb'Device - 1']"
"403888","3262.930542944","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403890","3262.932954874","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3192)"
"403892","3262.933504355","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403908","3263.937220898","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403910","3263.940211234","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3193) [Deviceb'Device - 1']"
"403911","3263.940607595","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403914","3263.943092623","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3193)"
"403916","3263.943880025","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403997","3264.947858388","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403999","3264.951133403","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3194) [Deviceb'Device - 1']"
"404000","3264.951579809","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"404003","3264.953866231","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3194)"
"404005","3264.954184834","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"404064","3265.958543922","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"404074","3265.961519981","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3195) [Deviceb'Device - 1']"
"404075","3265.961938504","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"404079","3265.964413072","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3195)"
"404081","3265.964818570","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"404097","3266.968608353","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"404099","3266.971571057","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3196) [Deviceb'Device - 1']"
"404100","3266.971988197","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"404103","3266.974395558","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3196)"
"404105","3266.975152091","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"404134","3267.979101681","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"404136","3267.982049105","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3197) [Deviceb'Device - 1']"
"404138","3267.986424304","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"404140","3267.988809553","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3197)"
