"No.","Time","Source","Destination","Protocol","Length","Info"
"164653","1002.537161072","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164656","1002.539285989","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=979)"
"164658","1002.540106580","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164673","1003.544373186","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164675","1003.549387205","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=980) [Deviceb'Device - 2']"
"164676","1003.549793864","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164679","1003.552300863","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=980)"
"164681","1003.553067994","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164693","1004.557211737","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164695","1004.560097071","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=981) [Deviceb'Device - 2']"
"164696","1004.560585034","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164699","1004.562962188","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=981)"
"164701","1004.563676308","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164714","1005.567906395","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164716","1005.570800437","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=982) [Deviceb'Device - 2']"
"164717","1005.571206404","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164720","1005.573604418","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=982)"
"164722","1005.574420180","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164734","1006.578726701","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164736","1006.581619450","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=983) [Deviceb'Device - 2']"
"164737","1006.582030928","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164740","1006.584418081","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=983)"
"164742","1006.585239343","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164758","1007.589451225","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164760","1007.592321341","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=984) [Deviceb'Device - 2']"
"164762","1007.596627563","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164764","1007.599098193","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=984)"
"164766","1007.599984198","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166080","1008.604483005","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166082","1008.607446458","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=985) [Deviceb'Device - 2']"
"166083","1008.607809063","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166086","1008.610580052","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=985)"
"166088","1008.611428786","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166096","1009.615777969","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166098","1009.618556742","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=986) [Deviceb'Device - 2']"
"166099","1009.618959734","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166102","1009.621871319","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=986)"
"166104","1009.622628911","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166120","1010.627732380","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166122","1010.630745025","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=987) [Deviceb'Device - 2']"
"166123","1010.631134973","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166126","1010.633531794","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=987)"
"166128","1010.633967818","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166143","1011.637781310","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166145","1011.640732359","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=988) [Deviceb'Device - 2']"
"166146","1011.641124430","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"166149","1011.644433767","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=988)"
"166151","1011.644876093","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"166163","1012.649125683","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"166165","1012.651983385","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=989) [Deviceb'Device - 2']"
"166167","1012.656420674","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
