Time_publish,Time_ack,Size_Payload,RTT
118.45653813,118.459674463,6.0,3.1363330000004908
119.462530686,119.465198743,6.0,2.6680570000081616
120.471210967,120.474052713,6.0,2.8417460000014216
121.478697803,121.481316156,6.0,2.618353000002571
122.48580787,122.490959374,6.0,5.151503999996976
123.494386182,123.49944453,6.0,5.058348000005708
124.502881979,124.50802108,6.0,5.139101000011692
125.514515312,125.516600927,6.0,2.0856149999985973
126.522564066,126.526496053,6.0,3.9319870000014134
127.533572009,127.535742635,6.0,2.170626000008724
128.539756961,128.541774737,6.0,2.0177760000024136
129.547106686,129.551898429,6.0,4.791742999998405
130.553810835,130.559616857,6.0,5.806022000001576
131.563660984,131.566193324,6.0,2.53234000001612
132.569423996,132.574724301,6.0,5.3003049999915675
133.578686228,133.581374162,6.0,2.6879339999936747
134.582367515,134.585088682,6.0,2.721167000004243
135.586954398,135.589638394,6.0,2.683996000001798
136.594302366,136.596968438,6.0,2.6660720000108995
137.597576851,137.602125343,6.0,4.54849199999785
138.603791481,138.606898186,6.0,3.106704999993326
139.614178392,139.616965684,6.0,2.787291999993613
140.622280584,140.625065421,6.0,2.784836999978779
141.625824391,141.628069837,6.0,2.245445999989215
142.630491363,142.634496147,6.0,4.004783999988604
143.641005807,143.643737183,6.0,2.731376000014052
144.647737581,144.650628939,6.0,2.8913579999994
145.654736831,145.660016085,6.0,5.279253999987077
146.663343935,146.666094787,6.0,2.750851999991255
147.671520619,147.674123161,6.0,2.6025420000053145
148.678956504,148.681596597,6.0,2.6400929999965683
149.6849324,149.689960759,6.0,5.028358999993543
150.69110924,150.693676355,6.0,2.56711500000506
151.697488748,151.700195717,6.0,2.706969000001891
152.702554464,152.705230084,6.0,2.675619999990886
153.707765359,153.710460405,6.0,2.6950459999852683
154.714823381,154.717351171,6.0,2.5277899999878173
155.720949392,155.724335154,6.0,3.3857619999935196
156.726334677,156.729042227,6.0,2.7075499999966723
157.730245485,157.73464279,6.0,4.3973049999976865
158.73880052,158.74147606,6.0,2.6755399999842666
159.743725365,159.746368844,6.0,2.6434789999996156
160.749664502,160.752387361,6.0,2.7228589999879205
161.754769844,161.757419063,6.0,2.6492189999771654
162.758809836,162.761915559,6.0,3.105722999976024
163.765547044,163.768159404,6.0,2.6123600000005354
164.770112519,164.772777218,6.0,2.6646989999790094
165.775943281,165.834098222,6.0,58.15494099999796
166.837009697,166.842176707,6.0,5.167009999979655
65.055675623,65.059028399,6.0,3.352775999999835
66.063214553,66.065891099,6.0,2.6765460000035546
67.069038806,67.071494534,6.0,2.455728000001045
68.07512437,68.077832215,6.0,2.707845000003317
69.082021569,69.084717852,6.0,2.696282999991695
70.089280173,70.091947371,6.0,2.6671979999974837
71.096656343,71.099248289,6.0,2.5919459999954597
72.102529787,72.105065396,6.0,2.535609000005934
73.108005576,73.110540253,6.0,2.534676999999874
74.112934544,74.115548841,6.0,2.6142970000080368
75.118466388,75.123532266,6.0,5.06587799999636
76.12491621,76.127573469,6.0,2.6572590000029095
77.13016672,77.132254462,6.0,2.087742000000503
78.13522227,78.138805902,6.0,3.5836320000015576
79.142337806,79.147672171,6.0,5.334364999995955
80.152507373,80.155276885,6.0,2.769512000000418
81.161023176,81.16340841,6.0,2.3852340000019012
82.168571435,82.171050106,6.0,2.47867099999155
83.176466007,83.178567263,6.0,2.1012560000031044
84.184194794,84.186068209,6.0,1.8734149999914962
85.195531227,85.200866583,6.0,5.335356000003344
86.204847262,86.209873443,6.0,5.026181000005181
87.211604351,87.214206325,6.0,2.6019740000009506
88.218652972,88.221208417,6.0,2.5554449999987128
89.225659491,89.228319324,6.0,2.659832999995615
90.233174033,90.235749546,6.0,2.5755129999964765
91.237951391,91.240553315,6.0,2.601924000003919
